metric,step,n,pearson_r,ci_lower,ci_upper,p_value
WAT_BUR_MAX,1,68,-0.5243028717981923,-0.677976216909352,-0.3267200627330839,4.453515267138818e-06
WAT_BUR_MAX,2,68,-0.34071209224364274,-0.5356259756888132,-0.1113308895906507,0.004467794817076719
WAT_BUR_MAX,3,68,-0.22962078221498203,-0.44375164387841926,0.00931423853851454,0.059612360536098585
WAT_BUR_MAX,4,68,-0.32357783274061847,-0.5217503658916371,-0.0922713945822911,0.0071099609805527824
WAT_BUR_MAX,5,68,-0.5674216809448445,-0.709817315042234,-0.3804693642836686,4.5219111456059715e-07
