variant	model	model_type	task	unit	n_labelled	mcc	f1	precision	fpr	tpr	tnr	auroc	auprc	precision_at_k	pauroc_01	pauroc_001	precision_at_k_k	n_samples	n_positive	n_negative	n_predicted_positive	errors
apex-kpneumoniae	apex	regressor	regression_ecoli25922	uM	1929	0.1802004739037496	0.33980582524271846	0.9459459459459459	0.0425531914893617	0.20710059171597633	0.9574468085106383	0.5436233161274078	0.8418999825328811	0.81	0.5763234095562462	0.5272219083583598	100	216	169	47	37	0
apex-abaumannii	apex	regressor	regression_ecoli25922	uM	1929	0.3605700000783747	0.9441829186281103	0.9564032697547684	0.5245901639344263	0.9322709163346613	0.47540983606557374	0.7782857640476346	0.9719344715756886	0.97	0.5837186199120687	0.5328568473175973	100	814	753	61	734	0
apex-paeruginosa	apex	regressor	regression_ecoli25922	uM	1929	0.5297735746376747	0.8414239482200647	0.9961685823754789	0.015384615384615385	0.7282913165266106	0.9846153846153847	0.8792501616031028	0.978166805653557	1.0	0.8538200705383368	0.811381839167828	100	422	357	65	261	0
mbc-attention	mbc-attention	regressor	regression_ecoli25922	uM	1929	0.4524271501087289	0.9672609400324149	0.9473015873015873	0.6693548387096774	0.9880794701986755	0.33064516129032256	0.829368724631489	0.9818323087096066	1.0	0.681090410281204	0.5745765786849222	100	1634	1510	124	1575	0
sensexamp-classifier	sensexamp	classifier	regression_ecoli25922	uM	1929	0.14336154372851737	0.9256198347107438	0.8704663212435233	0.9302325581395349	0.9882352941176471	0.06976744186046512	0.7285191518467853	0.9418803890434372	0.99	0.595921232630139	0.5353324849280603	100	1575	1360	215	1544	0
sensexamp-ecoli	sensexamp	regressor	regression_ecoli25922	uM	1929	0.373639027616879	0.9327390599675851	0.9411283728536386	0.5255474452554745	0.9244979919678715	0.4744525547445255	0.8292322574971418	0.9769584233999816	1.0	0.7067547948227794	0.5794850899766031	100	1382	1245	137	1223	0
sensexamp-saureus	sensexamp	regressor	regression_ecoli25922	uM	1929	0.4114001331572125	0.8753514526710403	0.9559877175025588	0.2606060606060606	0.8072601555747623	0.7393939393939394	0.7952856132631414	0.9622369278331804	1.0	0.6280183447540042	0.5671503322115936	100	1322	1157	165	977	0
ampredictor	ampredictor	regressor	regression_ecoli25922	uM	1929	0.489979065641827	0.978060413354531	0.9588528678304239	0.717391304347826	0.9980532121998702	0.2826086956521739	0.849920999915357	0.9872822353138113	1.0	0.6470092082617457	0.5672717904904144	100	1633	1541	92	1604	0
deep-amp-lstm-gramneg	deep-amp	regressor	regression_ecoli25922	uM	1929	0.17414692545874016	0.9158815612382234	0.9049202127659575	0.7688172043010753	0.9271117166212534	0.23118279569892472	0.6078345199378864	0.9101697420052257	0.9	0.5096408728598326	0.49796225568379826	100	1654	1468	186	1504	0
deep-amp-lstm-grampos	deep-amp	regressor	regression_ecoli25922	uM	1929	0.3156804678538015	0.9092708677004289	0.927946127946128	0.5376884422110553	0.8913324708926261	0.4623115577889447	0.7698973522203514	0.9563016755011117	0.97	0.5883003223374994	0.5189384746742678	100	1745	1546	199	1485	0
deep-amp-cnn-gramneg	deep-amp	regressor	regression_ecoli25922	uM	1929	0.2808938539500826	0.9502177971375233	0.9248940036341611	0.7848101265822784	0.9769673704414588	0.21518987341772153	0.7660252516663022	0.9653548863778816	0.98	0.5983057573475222	0.5109987932161435	100	1721	1563	158	1651	0
deep-amp-cnn-grampos	deep-amp	regressor	regression_ecoli25922	uM	1929	0.10592078181572077	0.9368179207352096	0.8951701427003294	0.9317073170731708	0.9825301204819277	0.06829268292682927	0.6465971201880694	0.9372092223619997	1.0	0.5741528372797996	0.5526191049281081	100	1865	1660	205	1822	0
example-model	example-model	classifier	regression_saureus25923	ug/ml	1247	0.00973104626212769	0.5918503674014696	0.6900311526479751	0.5076530612244898	0.5181286549707602	0.4923469387755102	0.49481590881966825	0.6911678975156051	0.7	0.5032757331926307	0.5039045328084509	100	1247	855	392	642	0
ampeppy	ampeppy	classifier	regression_saureus25923	ug/ml	1247	0.21858127566509614	0.8208955223880597	0.7142857142857143	0.8418367346938775	0.9649122807017544	0.15816326530612246	0.620139634801289	0.7421128435722466	0.68	0.5021168208742407	0.500816410492611	100	1247	855	392	1155	0
amplify	amplify	classifier	regression_saureus25923	ug/ml	1247	0.20708402872904047	0.8223201174743024	0.7070707070707071	0.8877551020408163	0.9824561403508771	0.11224489795918367	0.6534908700322234	0.7633600416976921	0.76	0.5091189753833204	0.502042375620794	100	1247	855	392	1188	0
ampscanner	ampscanner	classifier	regression_saureus25923	ug/ml	1247	0.19060562192256872	0.8	0.6812313803376365	0.8699186991869918	0.9689265536723164	0.13008130081300814	0.6854071930549814	0.7807575470346608	0.83	0.5409674650329053	0.5039114665106794	100	1077	708	369	1007	0
ampredmfa	ampredmfa	classifier	regression_saureus25923	ug/ml	1247	0.07252545482254948	0.81467365412101	0.6872990353697749	0.9923469387755102	1.0	0.007653061224489796	0.60031179138322	0.7313694617931926	0.68	0.4987428084380993	0.4998799666347934	100	1247	855	392	1244	0
hydramp-amp-classifier	hydramp-amp-classifier	classifier	regression_saureus25923	ug/ml	1247	0.18657781128819714	0.838160136286201	0.738	0.8733333333333333	0.9697766097240473	0.12666666666666668	0.7490976784932106	0.8650478915102053	0.92	0.5771607072872721	0.5028801475621647	100	1061	761	300	1000	0
hydramp-mic-classifier	hydramp-mic-classifier	classifier	regression_saureus25923	ug/ml	1247	0.3828143139030143	0.8436911487758946	0.8076923076923077	0.5333333333333333	0.8830486202365309	0.4666666666666667	0.7506176084099869	0.8481293536557339	0.85	0.5460958572515389	0.5014494284827554	100	1061	761	300	832	0
apex-min	apex	regressor	regression_saureus25923	ug/ml	1247	0.3531655139623997	0.8247588424437299	0.8181818181818182	0.4830508474576271	0.8314424635332253	0.5169491525423728	0.75002747026344	0.8765832028742712	0.95	0.5874978493675334	0.5183317074342402	100	853	617	236	627	0
apex-ecoli	apex	regressor	regression_saureus25923	ug/ml	1247	0.37489646708512603	0.5574387947269304	0.9192546583850931	0.05726872246696035	0.4	0.9427312775330396	0.719728539111799	0.8294024475979891	0.97	0.6574341556952269	0.5673928638310016	100	597	370	227	161	0
apex-saureus	apex	regressor	regression_saureus25923	ug/ml	1247	0.1830353668701539	0.1510791366906475	1.0	0.0	0.08171206225680934	1.0	0.6394253582613647	0.7481561242373509	0.84	0.5607208683186565	0.5438066292361494	100	842	514	328	42	0
apex-kpneumoniae	apex	regressor	regression_saureus25923	ug/ml	1247	0.09487090927958734	0.04861111111111111	1.0	0.0	0.02491103202846975	1.0	0.56277694868557	0.6864290962872737	0.67	0.5040148874079355	0.5112169733987352	100	872	562	310	14	0
apex-abaumannii	apex	regressor	regression_saureus25923	ug/ml	1247	0.3612721524286133	0.6461086637298091	0.8695652173913043	0.14473684210526316	0.514018691588785	0.8552631578947368	0.7300274635186096	0.8277142314149923	0.89	0.5794176784805102	0.5196304526403126	100	656	428	228	253	0
apex-paeruginosa	apex	regressor	regression_saureus25923	ug/ml	1247	0.10206887303782033	0.07673860911270983	0.8888888888888888	0.006993006993006993	0.040100250626566414	0.993006993006993	0.6006975480659691	0.685730392832858	0.78	0.5459849476469975	0.5155069738513272	100	685	399	286	18	0
mbc-attention	mbc-attention	regressor	regression_saureus25923	ug/ml	1247	0.47196245660041436	0.8778735632183908	0.8103448275862069	0.5860655737704918	0.957680250783699	0.4139344262295082	0.7199689089881288	0.8370802843411171	0.84	0.5288068570624876	0.5130465008117828	100	882	638	244	754	0
sensexamp-classifier	sensexamp	classifier	regression_saureus25923	ug/ml	1247	0.20894296896457745	0.8438724118634583	0.7334630350194552	0.9163879598662207	0.9934123847167325	0.08361204013377926	0.6509577379142595	0.8047430511097843	0.84	0.5272780149906804	0.5104897319182355	100	1058	759	299	1028	0
sensexamp-ecoli	sensexamp	regressor	regression_saureus25923	ug/ml	1247	0.36749640508046616	0.8671428571428571	0.8202702702702702	0.6100917431192661	0.9196969696969697	0.38990825688073394	0.7045802057269946	0.8571785358080007	0.89	0.539835828102366	0.5206711902576547	100	878	660	218	740	0
sensexamp-saureus	sensexamp	regressor	regression_saureus25923	ug/ml	1247	0.5648602349825407	0.8662092624356775	0.9066427289048474	0.23008849557522124	0.8292282430213465	0.7699115044247787	0.8145298400104626	0.9025555023247529	0.9	0.5738507085535015	0.530347145290952	100	835	609	226	557	0
ampredictor	ampredictor	regressor	regression_saureus25923	ug/ml	1247	0.328273548165634	0.8810810810810811	0.800982800982801	0.7864077669902912	0.978978978978979	0.21359223300970873	0.5949371701798887	0.7835537200639292	0.75	0.4946760761783756	0.49865218685045976	100	872	666	206	814	0
deep-amp-lstm-gramneg	deep-amp	regressor	regression_saureus25923	ug/ml	1247	0.42834879601550396	0.8518518518518519	0.7958477508650519	0.5462962962962963	0.9163346613545816	0.4537037037037037	0.7160534815470627	0.8255988101839236	0.87	0.5482268457036054	0.5045481370421698	100	1077	753	324	867	0
deep-amp-lstm-grampos	deep-amp	regressor	regression_saureus25923	ug/ml	1247	0.29210930902121834	0.803788903924222	0.7774869109947644	0.5555555555555556	0.8319327731092437	0.4444444444444444	0.685725270500357	0.8053243326127444	0.81	0.5251488968480409	0.5020230314347961	100	1020	714	306	764	0
deep-amp-cnn-gramneg	deep-amp	regressor	regression_saureus25923	ug/ml	1247	0.4450201226616408	0.89618138424821	0.8372352285395763	0.6293103448275862	0.9640564826700898	0.3706896551724138	0.8154408835376921	0.9260606140487165	0.98	0.6123980439345897	0.5398843627192668	100	1011	779	232	897	0
deep-amp-cnn-grampos	deep-amp	regressor	regression_saureus25923	ug/ml	1247	0.20817603816835584	0.8371843095110156	0.7349056603773585	0.8646153846153846	0.9725343320848939	0.13538461538461538	0.5872428694900605	0.7494522011854985	0.74	0.5040511102013172	0.5013480926190542	100	1126	801	325	1060	0
example-model	example-model	classifier	regression_saureus25923	uM	1174	0.031822045616447026	0.6368857689853222	0.8414839797639123	0.47	0.5123203285420944	0.53	0.49381160164271054	0.8311913047151182	0.8	0.5008240570625743	0.5062581903356619	100	1174	974	200	593	0
ampeppy	ampeppy	classifier	regression_saureus25923	uM	1174	0.18678196477391368	0.9022051773729626	0.8462230215827338	0.855	0.9661190965092402	0.145	0.665490246406571	0.8949641090139585	0.92	0.5343672322490003	0.5156738518052274	100	1174	974	200	1112	0
amplify	amplify	classifier	regression_saureus25923	uM	1174	0.14828680910072634	0.9036544850498339	0.8402471315092674	0.905	0.9774127310061602	0.095	0.6933726899383983	0.8984845479557698	0.92	0.5252485680319896	0.5115464385582945	100	1174	974	200	1133	0
ampscanner	ampscanner	classifier	regression_saureus25923	uM	1174	0.18014201865097035	0.8956228956228957	0.8338557993730408	0.8641304347826086	0.9672727272727273	0.1358695652173913	0.7301152832674571	0.912439790328426	0.91	0.5763669648429374	0.5072940459875134	100	1009	825	184	957	0
ampredmfa	ampredmfa	classifier	regression_saureus25923	uM	1174	0.03622160420747562	0.9068033550792172	0.8302047781569966	0.995	0.9989733059548255	0.005	0.5204953798767967	0.8323918410825583	0.8	0.4946060459947848	0.4994849993663362	100	1174	974	200	1172	0
hydramp-amp-classifier	hydramp-amp-classifier	classifier	regression_saureus25923	uM	1174	0.17377702815347346	0.9014859658778206	0.84346035015448	0.8685714285714285	0.9680851063829787	0.13142857142857142	0.7603208375548801	0.9284226485430366	0.95	0.5823246058408432	0.5121037473758526	100	1021	846	175	971	0
hydramp-mic-classifier	hydramp-mic-classifier	classifier	regression_saureus25923	uM	1174	0.3367958073458959	0.8813357185450209	0.8892900120336944	0.5257142857142857	0.8735224586288416	0.4742857142857143	0.7542857142857143	0.919729251083008	0.92	0.5605147620825113	0.5077549177837856	100	1021	846	175	831	0
apex-min	apex	regressor	regression_saureus25923	uM	1174	0.0	0.9404682274247491	0.8876262626262627	1.0	1.0	0.0	0.6714721818210878	0.9380319857020649	0.96	0.5527321027647836	0.5096392345797265	100	792	703	89	792	0
apex-ecoli	apex	regressor	regression_saureus25923	uM	1174	0.4405757887914833	0.946047678795483	0.9496221662468514	0.4878048780487805	0.9425	0.5121951219512195	0.7962195121951219	0.9680382682807355	0.99	0.6019576379974326	0.5276381909547738	100	441	400	41	397	0
apex-saureus	apex	regressor	regression_saureus25923	uM	1174	0.543305367994433	0.7397260273972602	0.9759036144578314	0.029411764705882353	0.5955882352941176	0.9705882352941176	0.8401816608996541	0.9236986264793551	0.88	0.7692815516299398	0.7007094295004435	100	204	136	68	83	0
apex-kpneumoniae	apex	regressor	regression_saureus25923	uM	1174	0.2537309407429876	0.4533333333333333	0.9444444444444444	0.05128205128205128	0.2982456140350877	0.9487179487179487	0.567476383265857	0.8439274412712439	0.72	0.6355091507446078	0.616503570483999	100	153	114	39	36	0
apex-abaumannii	apex	regressor	regression_saureus25923	uM	1174	0.28753682419908116	0.9418221734357849	0.9428571428571428	0.65	0.9407894736842105	0.35	0.7521929824561402	0.967977629486251	0.99	0.5850646352723915	0.5349554791501366	100	496	456	40	455	0
apex-paeruginosa	apex	regressor	regression_saureus25923	uM	1174	0.5716250843819561	0.8469055374592834	0.9923664122137404	0.024390243902439025	0.7386363636363636	0.975609756097561	0.8909368070953436	0.9744724538007183	0.99	0.8399754930563661	0.768730013704888	100	217	176	41	131	0
mbc-attention	mbc-attention	regressor	regression_saureus25923	uM	1174	0.3575172231823566	0.9368770764119602	0.8886554621848739	0.7969924812030075	0.990632318501171	0.20300751879699247	0.6631508513672941	0.9100496526554016	0.92	0.5238589509642465	0.5063049218022284	100	987	854	133	952	0
sensexamp-classifier	sensexamp	classifier	regression_saureus25923	uM	1174	0.2154160648937345	0.912452419793366	0.8449144008056395	0.9058823529411765	0.991725768321513	0.09411764705882353	0.6183945209289389	0.8749784352581569	0.88	0.5160068506685989	0.5066767574487652	100	1016	846	170	993	0
sensexamp-ecoli	sensexamp	regressor	regression_saureus25923	uM	1174	0.2506273222942416	0.9086357947434293	0.8907975460122699	0.7063492063492064	0.9272030651340997	0.29365079365079366	0.7146708832532588	0.9291910700046032	0.94	0.5416595981225947	0.5282214962994338	100	909	783	126	815	0
sensexamp-saureus	sensexamp	regressor	regression_saureus25923	uM	1174	0.486354431890277	0.9017921146953405	0.9501510574018127	0.275	0.8581173260572987	0.725	0.8125170532060026	0.9566559850224201	0.97	0.6053229937052728	0.547761545334677	100	853	733	120	662	0
ampredictor	ampredictor	regressor	regression_saureus25923	uM	1174	0.15212236015640776	0.9370037056643726	0.8832335329341318	0.9590163934426229	0.9977452085682075	0.040983606557377046	0.6567542092520376	0.906070252488702	0.87	0.4926330185898702	0.4999021573946209	100	1009	887	122	1002	0
deep-amp-lstm-gramneg	deep-amp	regressor	regression_saureus25923	uM	1174	0.3202991269398975	0.9149972929074174	0.8829676071055381	0.6956521739130435	0.949438202247191	0.30434782608695654	0.6276955823853723	0.8869104042206071	0.9	0.51775751053256	0.50611105636354	100	1051	890	161	957	0
deep-amp-lstm-grampos	deep-amp	regressor	regression_saureus25923	uM	1174	0.27183316223904525	0.8822869955156951	0.8812989921612542	0.6127167630057804	0.8832772166105499	0.3872832369942196	0.693200469693726	0.8968280958783297	0.86	0.5087200299653398	0.5074631638956152	100	1064	891	173	893	0
deep-amp-cnn-gramneg	deep-amp	regressor	regression_saureus25923	uM	1174	0.22512183283331255	0.9333333333333333	0.8981390793339863	0.8253968253968254	0.9713983050847458	0.1746031746031746	0.8309204331450093	0.9698199180986595	1.0	0.6455209351061268	0.5548092899255492	100	1070	944	126	1021	0
deep-amp-cnn-grampos	deep-amp	regressor	regression_saureus25923	uM	1174	0.13745410944411435	0.9128305582761999	0.8526989935956084	0.92	0.982086406743941	0.08	0.5721752220382358	0.8672187822385427	0.89	0.5118248730361203	0.5073213425247568	100	1124	949	175	1093	0
