variant	model	task	unit	r2_log2	msl2e	rmsl2e	spearman	n_samples	errors
ampredictor	ampredictor	regression_saureus25923	ug/ml	-0.02402061718927495	4.910885991811207	2.2160518928516106	0.32237458764598464	1568	0
ampredictor	ampredictor	regression_saureus25923	uM	0.016286424204245753	4.321309939394784	2.078776067640472	0.3644093691209073	1568	0
deep-amp-lstm-gramneg	deep-amp	regression_saureus25923	ug/ml	-0.5946363846602469	7.613702023787001	2.759293754529771	0.3914346790159605	1563	0
deep-amp-lstm-gramneg	deep-amp	regression_saureus25923	uM	-0.5477979712039445	6.7991197383433235	2.607512174150549	0.3611373124924538	1563	0
deep-amp-lstm-grampos	deep-amp	regression_saureus25923	ug/ml	-0.393925623550919	6.655394573415168	2.579805142528243	0.2911243414592917	1563	0
deep-amp-lstm-grampos	deep-amp	regression_saureus25923	uM	-0.3775132810496924	6.0510983431060135	2.4598980351034907	0.3044104454506993	1563	0
deep-amp-cnn-gramneg	deep-amp	regression_saureus25923	ug/ml	0.12220349807887776	4.191100283074212	2.0472176931323673	0.5323448861309763	1563	0
deep-amp-cnn-gramneg	deep-amp	regression_saureus25923	uM	0.1396895582609059	3.779145479161765	1.9440024380544807	0.5462504412584261	1563	0
deep-amp-cnn-grampos	deep-amp	regression_saureus25923	ug/ml	-0.5048526005799556	7.1850231192221745	2.6804893432398074	0.1735319995407419	1563	0
deep-amp-cnn-grampos	deep-amp	regression_saureus25923	uM	-0.4925334965257233	6.556355638890736	2.560538154156414	0.11824134180875293	1563	0
