stage	variant	dataset	s	max_rss	cpu_time
inference	mole-amp	pa-cpldiff-strength-1	7.78	4344.33	22.74
inference	mole-amp	pa-more-data-strength-1	7.81	4348.14	22.9
inference	mole-amp	paired-safe	11.41	1933.23	10.3
inference	sensexamp	battleamp-all	7790.09	6786.12	7519.85
inference	sensexamp	deep-amp	751.82	10168.38	661.84
inference	sensexamp	example-dataset	57.19	10172.95	18.27
inference	sensexamp	pa-cpldiff-strength-0	133.58	10196.44	55.42
inference	sensexamp	pa-cpldiff-strength-1	138.37	10243.9	62.83
inference	sensexamp	pa-more-data-strength-1	130.22	10327.1	62.12
inference	sensexamp	paired-safe	61.34	10308.62	16.13
inference	sensexamp	slay	54970.81	40482.43	52826.16
setup	ampeppy	-	10.16	93.23	1.81
setup	amplify	-	13.73	621.26	3.49
setup	ampredictor	-	11.26	10427.53	9.31
setup	ampredmfa	-	7.89	512.45	2.48
setup	ampscanner	-	2.28	48.85	0.42
setup	apex	-	82.57	95.91	45.45
setup	deep-amp	-	13.8	85.32	3.3
setup	example-model	-	0.58		
setup	hydramp-amp-classifier	-	3.56	49.74	0.4
setup	hydramp-mic-classifier	-	4.43	81.49	0.86
setup	mbc-attention	-	6.99	728.32	5.36
setup	mole-amp	-	3.01	333.27	1.15
setup	sensexamp	-	3.6	426.84	1.8
