variant	task	task_type	n_matched	task_size	coverage	mcc	f1	precision	fpr	tpr	tnr	auroc	auprc	precision_at_k	pauroc_01	pauroc_001	precision_at_k_k	n_samples	n_positive	n_negative	n_predicted_positive	errors	r2_log2	msl2e	rmsl2e	spearman
apex-kpneumoniae	holdout2026_regression_abaumannii	regression	237	237	1.0													237.0				0.0	-1.8797347075856798	10.781548334263674	3.2835268133919167	0.10874799443898314
apex-min	holdout2026_regression_abaumannii	regression	237	237	1.0													237.0				0.0	-0.4121931163210413	5.2871635365657195	2.2993832948348825	0.07823634118830776
apex-paeruginosa	holdout2026_regression_abaumannii	regression	237	237	1.0													237.0				0.0	-1.2373513585817917	8.376504873778337	2.89421921660719	0.12011516957376413
apex-saureus	holdout2026_regression_abaumannii	regression	237	237	1.0													237.0				0.0	-1.6679928124988357	9.988799797305091	3.1605062564888384	0.12233590010649746
deep-amp-cnn-gramneg	holdout2026_regression_abaumannii	regression	237	237	1.0													237.0				0.0	-0.2050474577410608	4.511623024333833	2.124058149941718	0.17562477930311368
deep-amp-cnn-grampos	holdout2026_regression_abaumannii	regression	237	237	1.0													237.0				0.0	-0.44149614550530303	5.396872262393221	2.32311692826539	0.2118221449088633
deep-amp-lstm-gramneg	holdout2026_regression_abaumannii	regression	237	237	1.0													237.0				0.0	-1.3457418656899964	8.78231221717151	2.9634966200708766	-0.04777147141304397
deep-amp-lstm-grampos	holdout2026_regression_abaumannii	regression	237	237	1.0													237.0				0.0	-0.41024656852292773	5.279875782205904	2.297798029028205	0.2385536995240472
mbc-attention	holdout2026_regression_abaumannii	regression	237	237	1.0													237.0				0.0	-0.05564563324204408	3.952271849442524	1.9880321550323385	0.28545088559292714
sensexamp-ecoli	holdout2026_regression_abaumannii	regression	210	237	0.8860759493670886													210.0				0.0	-0.2582506476980193	4.631565462470219	2.1521072144459295	0.37109207244161296
sensexamp-saureus	holdout2026_regression_abaumannii	regression	210	237	0.8860759493670886													210.0				0.0	-0.9204185943000702	7.068976639208142	2.6587547158788722	0.2716576953181078
ampredictor	holdout2026_regression_ecoli	regression	358	358	1.0													358.0				0.0	-0.1452971215612977	6.26464288666124	2.502926864025643	0.24488995815553674
apex-abaumannii	holdout2026_regression_ecoli	regression	358	358	1.0													358.0				0.0	-0.46218322521534794	7.9979732493813485	2.8280688197746087	0.12919911509537335
apex-ecoli	holdout2026_regression_ecoli	regression	358	358	1.0													358.0				0.0	-0.5582295818182208	8.523335719394082	2.9194752472651797	0.10348045430714073
apex-kpneumoniae	holdout2026_regression_ecoli	regression	358	358	1.0													358.0				0.0	-1.3182077573374462	12.680328504632202	3.560944889300058	-0.019718711890805724
apex-min	holdout2026_regression_ecoli	regression	358	358	1.0													358.0				0.0	-0.31845107560214747	7.211775002911143	2.6854748188935122	0.09041169732224646
apex-paeruginosa	holdout2026_regression_ecoli	regression	358	358	1.0													358.0				0.0	-0.8429293028258866	10.080610288995498	3.1749976833055324	0.13969345868067473
apex-saureus	holdout2026_regression_ecoli	regression	358	358	1.0													358.0				0.0	-1.2729280426049892	12.432653698270999	3.52599683752992	-0.03936795392310361
deep-amp-cnn-gramneg	holdout2026_regression_ecoli	regression	358	358	1.0													358.0				0.0	-0.5271994753956175	8.353604623582278	2.890260303775817	0.06217895592372904
deep-amp-cnn-grampos	holdout2026_regression_ecoli	regression	358	358	1.0													358.0				0.0	-0.39961601203487374	7.655737824520641	2.7669004001807944	0.10956161713848879
deep-amp-lstm-gramneg	holdout2026_regression_ecoli	regression	358	358	1.0													358.0				0.0	-1.2982968989844568	12.571418410648612	3.5456196088481646	-0.12621982703230966
deep-amp-lstm-grampos	holdout2026_regression_ecoli	regression	358	358	1.0													358.0				0.0	-0.45972307382791544	7.9845165056253	2.8256886781146466	0.07945633580433445
mbc-attention	holdout2026_regression_ecoli	regression	358	358	1.0													358.0				0.0	-0.005012963141548088	5.4973047535159285	2.344633181014874	0.29629197998671103
sensexamp-ecoli	holdout2026_regression_ecoli	regression	297	358	0.8296089385474861													297.0				0.0	-0.5650703374039485	8.01787824360543	2.8315858178069457	0.2717312045170757
sensexamp-saureus	holdout2026_regression_ecoli	regression	297	358	0.8296089385474861													297.0				0.0	-0.7812419848871632	9.12532875737276	3.020815909216045	0.2892085343209345
ampredictor	holdout2026_regression_kpneumoniae	regression	186	186	1.0													186.0				0.0	-0.44072305315370786	4.048469898037517	2.01208098694797	0.24092562950970528
apex-abaumannii	holdout2026_regression_kpneumoniae	regression	186	186	1.0													186.0				0.0	-0.5648683217449841	4.397321387416677	2.0969791099142303	0.20222557352515774
apex-ecoli	holdout2026_regression_kpneumoniae	regression	186	186	1.0													186.0				0.0	-0.6454528799548032	4.623766128093912	2.1502944282339365	0.1294755912872628
apex-kpneumoniae	holdout2026_regression_kpneumoniae	regression	186	186	1.0													186.0				0.0	-2.1067125684360737	8.729944514760533	2.9546479510697266	0.05589956231871509
apex-min	holdout2026_regression_kpneumoniae	regression	186	186	1.0													186.0				0.0	-0.566070565711521	4.400699724771639	2.097784480057863	0.09201787225017159
apex-paeruginosa	holdout2026_regression_kpneumoniae	regression	186	186	1.0													186.0				0.0	-1.1906266184012364	6.155718757344642	2.4810720983769583	0.15831348935533912
