variant	model	model_type	task	evaluation_set	n_train	overlap_n	overlap_pct	mcc	f1	precision	fpr	tpr	tnr	auroc	auprc	precision_at_k	pauroc_01	pauroc_001	precision_at_k_k	n_samples	n_positive	n_negative	n_predicted_positive	errors	r2_log2	msl2e	rmsl2e	spearman
example-model	example-model	classifier	amp	battleamp		0	0.0	-0.001898285135827458	0.5015113164426314	0.5006869479882238	0.5042366582429018	0.5023384039777482	0.49576334175709824	0.4988179405367785	0.49716320682063764	0.42	0.4979570969096458	0.4995958198130875	100.0	40494.0	20313.0	20181.0	20380.0	0.0				
example-model	example-model	classifier	amp	minustrain		0	0.0	-0.001898285135827458	0.5015113164426314	0.5006869479882238	0.5042366582429018	0.5023384039777482	0.49576334175709824	0.4988179405367785	0.49716320682063764	0.42	0.4979570969096458	0.4995958198130875	100.0	40494.0	20313.0	20181.0	20380.0	0.0				
ampeppy	ampeppy	classifier	amp	battleamp	6536.0	3192	7.88	0.23010718195688604	0.6430821198703611	0.599463852602017	0.4664288191863634	0.6935460050214148	0.5335711808136366	0.6579807673357767	0.7026572532541151	1.0	0.5937543062935526	0.5571053029061115	100.0	40494.0	20313.0	20181.0	23501.0	0.0				
ampeppy	ampeppy	classifier	amp	minustrain	6536.0	3192	7.88	0.18439682911626318	0.5912771097130418	0.5419464720194648	0.4664288191863634	0.6504877051574091	0.5335711808136366	0.6127885779539453	0.5945927132439723	1.0	0.5440315968340279	0.5186043758570051	100.0	37302.0	17121.0	20181.0	20550.0	0.0				
amplify	amplify	classifier	amp	battleamp	6676.0	2808	6.93	0.41298653523985474	0.69046875	0.7276469619627861	0.24587483276349043	0.6569050096625539	0.7541251672365096	0.7526555857733879	0.8149121462356063	1.0	0.7153996262470399	0.6461393744673996	100.0	40362.0	20181.0	20181.0	18219.0	0.0				
amplify	amplify	classifier	amp	minustrain	6676.0	2808	6.93	0.362117064455833	0.6387322870638428	0.6786685662478954	0.24587483276349043	0.603234904737236	0.7541251672365096	0.7167188703586369	0.7614852995473773	1.0	0.681852945350151	0.6157988465725845	100.0	37554.0	17373.0	20181.0	15442.0	0.0				
ampscanner	ampscanner	classifier	amp	battleamp	2132.0	1062	2.62	0.6451138109390318	0.7919336477476012	0.9028478196380896	0.07584529874942103	0.7052893806847808	0.924154701250579	0.8585688130376832	0.8943523081798168	1.0	0.8061851992335698	0.695283832437041	100.0	34533.0	17261.0	17272.0	13484.0	0.0				
ampscanner	ampscanner	classifier	amp	minustrain	2132.0	1062	2.62	0.6322561459602817	0.7773898470777181	0.8947199228481877	0.07584529874942103	0.6872646459658004	0.924154701250579	0.8499107763758426	0.8825139530696022	1.0	0.7961426356404874	0.6868960178801041	100.0	33471.0	16199.0	17272.0	12443.0	0.0				
ampredmfa	ampredmfa	classifier	amp	battleamp	11320.0	3746	9.25	0.09423519534652938	0.6538277423868616	0.5222199347078027	0.8049650661513305	0.8741200216610052	0.19503493384866954	0.5923679969158552	0.6096420126912306	1.0	0.5459106621170956	0.5089403143363919	100.0	40494.0	20313.0	20181.0	34001.0	0.0				
ampredmfa	ampredmfa	classifier	amp	minustrain	11320.0	3746	9.25	0.07061655500091903	0.6047243424829375	0.46678264294623517	0.8049650661513305	0.8583931912838776	0.19503493384866954	0.5992797745143579	0.5725155122730357	0.84	0.5492950794128553	0.5096021871482985	100.0	36748.0	16567.0	20181.0	30466.0	0.0				
hydramp-amp-classifier	hydramp-amp-classifier	classifier	amp	battleamp	11131.0	11136	27.5	0.8059075400351866	0.9056191558157826	0.8815823054019566	0.12667212667212668	0.9310035037283263	0.8733278733278733	0.9673144408118803	0.9690439578051461	1.0	0.8908008202108605	0.748594516389786	100.0	22120.0	11131.0	10989.0	11755.0	0.0				
hydramp-amp-classifier	hydramp-amp-classifier	classifier	amp	minustrain	11131.0	11136	27.5	0.0	0.0	0.0	0.12659264652348015	0.0	0.8734073534765199			0.0			100.0	10988.0	0.0	10988.0	1391.0	0.0				
hydramp-mic-classifier	hydramp-mic-classifier	classifier	amp	battleamp	3444.0	1428	3.53	0.5208453784951387	0.6100390891605137	0.9859606899318091	0.00637000637000637	0.4416494474889947	0.9936299936299936	0.8544858470741141	0.8881793149321167	0.99	0.7855627942771954	0.6821314160864306	100.0	22120.0	11131.0	10989.0	4986.0	0.0				
hydramp-mic-classifier	hydramp-mic-classifier	classifier	amp	minustrain	3444.0	1428	3.53	0.5023052606108497	0.5717624716967351	0.982429718875502	0.00637000637000637	0.4032141753373854	0.9936299936299936	0.8361432693358107	0.8603395759089797	0.98	0.7647808324856358	0.6633389804561414	100.0	20696.0	9707.0	10989.0	3984.0	0.0				
apex-min	apex	regressor	amp	battleamp	1388.0	52	0.13	0.38129169024394055	0.43323687474162875	0.9647131021785824	0.0103398669304082	0.27934251443802754	0.9896601330695918	0.6390852881546143	0.713511467325078	1.0	0.6316963464046718	0.6029213110902938	100.0	22377.0	11255.0	11122.0	3259.0	0.0				
apex-min	apex	regressor	amp	minustrain	1388.0	52	0.13	0.3804312301684131	0.4317521781219748	0.9644732777262898	0.0103398669304082	0.2781291759465479	0.9896601330695918	0.638473512438879	0.7123730766977833	1.0	0.6310922195790969	0.6022669182394894	100.0	22347.0	11225.0	11122.0	3237.0	0.0				
apex-ecoli	apex	regressor	amp	battleamp	1388.0	52	0.13	0.15790131334597193	0.08542187122249979	0.9925093632958801	0.00026647125441343016	0.04463157894736842	0.9997335287455865	0.5205569726060537	0.5004607730738863	1.0	0.5248903424653869	0.522374062247678	100.0	26886.0	11875.0	15011.0	534.0	0.0				
apex-ecoli	apex	regressor	amp	minustrain	1388.0	52	0.13	0.15637950123470187	0.08381198932125232	0.9923371647509579	0.00026647125441343016	0.043753695413463974	0.9997335287455865	0.5196451312565903	0.4983333431992054	1.0	0.5242559301668543	0.5219089733643084	100.0	26850.0	11839.0	15011.0	522.0	0.0				
apex-saureus	apex	regressor	amp	battleamp	1388.0	52	0.13	0.05777344115336034	0.01353047844887711	0.9797979797979798	0.00013065917554060233	0.00681227614298757	0.9998693408244594	0.53034801143438	0.5118151999373358	0.97	0.5029054398495563	0.5034402996957497	100.0	29546.0	14239.0	15307.0	99.0	0.0				
apex-saureus	apex	regressor	amp	minustrain	1388.0	52	0.13	0.05463613210919609	0.012178051511758119	0.9775280898876404	0.00013065917554060233	0.006127192055778576	0.9998693408244594	0.5296691638175783	0.5098114449405191	0.9	0.5024914007524561	0.503098984601746	100.0	29506.0	14199.0	15307.0	89.0	0.0				
apex-kpneumoniae	apex	regressor	amp	battleamp	1388.0	52	0.13	0.02753757043697527	0.0036717977686767404	0.9285714285714286	0.00013305834608475815	0.0018395358709494835	0.9998669416539152	0.5287968423580655	0.5100000327138179	0.6	0.5034975574867973	0.5008348480383742	100.0	29165.0	14134.0	15031.0	28.0	0.0				
apex-kpneumoniae	apex	regressor	amp	minustrain	1388.0	52	0.13	0.024130390347608374	0.002973661852166525	0.9130434782608695	0.00013305834608475815	0.001489256081128998	0.9998669416539152	0.5282565335471905	0.5084361451844291	0.57	0.5032413784928983	0.5006516223051369	100.0	29132.0	14101.0	15031.0	23.0	0.0				
apex-abaumannii	apex	regressor	amp	battleamp	1388.0	52	0.13	0.200016172731288	0.13396387316846267	0.988558352402746	0.000666000666000666	0.07185031185031185	0.9993339993339994	0.5404149724149724	0.5356669397589142	1.0	0.5387349492612651	0.5358802996993952	100.0	27040.0	12025.0	15015.0	874.0	0.0				
apex-abaumannii	apex	regressor	amp	minustrain	1388.0	52	0.13	0.19872657031491778	0.13230601603237607	0.9883720930232558	0.000666000666000666	0.07089832346317458	0.9993339993339994	0.539602694411269	0.5338598018094542	1.0	0.5382045070136346	0.5354112937609703	100.0	27004.0	11989.0	15015.0	860.0	0.0				
apex-paeruginosa	apex	regressor	amp	battleamp	1388.0	52	0.13	0.04894377674989986	0.009710188228264117	0.9701492537313433	0.00013144922773578705	0.004879513550033781	0.9998685507722642	0.526076515617564	0.4997508959939788	0.86	0.5074581352193763	0.5033556411982949	100.0	28536.0	13321.0	15215.0	67.0	0.0				
apex-paeruginosa	apex	regressor	amp	minustrain	1388.0	52	0.13	0.04821191536825927	0.009436788496105452	0.9692307692307692	0.00013144922773578705	0.004741476631293746	0.9998685507722642	0.525542624405547	0.4985930949465871	0.85	0.5073745023751368	0.5032950175669855	100.0	28502.0	13287.0	15215.0	65.0	0.0				
mbc-attention	mbc-attention	regressor	amp	battleamp	3929.0	1394	3.44	0.46981529346006123	0.679982440737489	0.8123770814212665	0.13406408094435077	0.5846937812588469	0.8659359190556493	0.7577778269324336	0.7903731071434812	1.0	0.6575005489812878	0.5637886996997165	100.0	21271.0	10597.0	10674.0	7627.0	0.0				
mbc-attention	mbc-attention	regressor	amp	minustrain	3929.0	1394	3.44	0.4557916533743935	0.6603716482053145	0.7921870461806564	0.13406408094435077	0.5661650233523612	0.8659359190556493	0.7472448122637017	0.7656586784904407	1.0	0.6478019919194828	0.5591706403917596	100.0	20309.0	9635.0	10674.0	6886.0	0.0				
sensexamp-classifier	sensexamp	classifier	amp	battleamp	20587.0	2120	5.24	0.5290293050401692	0.7819618004764493	0.7211686709836571	0.3347834135505368	0.8539479689639434	0.6652165864494631	0.8783648769468719	0.9101503214667455	1.0	0.82350923576268	0.7385852459769024	100.0	21759.0	10955.0	10804.0	12972.0	0.0				
sensexamp-classifier	sensexamp	classifier	amp	minustrain	20587.0	2120	5.24	0.5100321246626536	0.7580667887839933	0.6905108239924702	0.3347834135505368	0.8402748854643899	0.6652165864494631	0.8682669032448377	0.8936847950356056	1.0	0.8136484608903425	0.7276733695408001	100.0	20408.0	9604.0	10804.0	11687.0	0.0				
sensexamp-ecoli	sensexamp	regressor	amp	battleamp	20587.0	2120	5.24	0.5817460232751975	0.6632718927060174	0.9893025246041934	0.004689991558015196	0.49886719171431654	0.9953100084419848	0.8144795183580559	0.8568279793289401	1.0	0.7940841325146573	0.7219865802894437	100.0	19930.0	9269.0	10661.0	4674.0	0.0				
sensexamp-ecoli	sensexamp	regressor	amp	minustrain	20587.0	2120	5.24	0.5826434247431895	0.6526624328285295	0.9876786594381469	0.004689991558015196	0.48735408560311283	0.9953100084419848	0.8115396922927562	0.8429006248950829	1.0	0.7885511171045076	0.716797277761009	100.0	18885.0	8224.0	10661.0	4058.0	0.0				
sensexamp-saureus	sensexamp	regressor	amp	battleamp	20587.0	2120	5.24	0.4852922812649907	0.5379052950781432	0.9968299711815563	0.0010224948875255625	0.368331381109573	0.9989775051124744	0.768859854406452	0.8235314903440492	1.0	0.7693609569674311	0.7035728041286593	100.0	20149.0	9391.0	10758.0	3470.0	0.0				
sensexamp-saureus	sensexamp	regressor	amp	minustrain	20587.0	2120	5.24	0.47978068876639873	0.51628532974428	0.996191135734072	0.0010224948875255625	0.34843163376529007	0.9989775051124744	0.7657537015638823	0.8059688642926726	1.0	0.7622634284933012	0.6940280994774958	100.0	19015.0	8257.0	10758.0	2888.0	0.0				
ampredictor	ampredictor	regressor	amp	battleamp	2952.0	1185	2.93	0.3381121834236439	0.7397377201831303	0.6791337180309183	0.49229423980762926	0.8122177728550737	0.5077057601923708	0.7165314949562269	0.7286170168545895	0.6	0.5489474063623987	0.5009778610270786	100.0	20886.0	11737.0	9149.0	14037.0	0.0				
ampredictor	ampredictor	regressor	amp	minustrain	2952.0	1185	2.93	0.3322509678753441	0.7271073628508826	0.6613024514964656	0.49229423980762926	0.8074556973647966	0.5077057601923708	0.7130396704458017	0.7096202893735122	0.56	0.5462470339949486	0.5005928182153905	100.0	20040.0	10891.0	9149.0	13298.0	0.0				
deep-amp-lstm-gramneg	deep-amp	regressor	amp	battleamp	12593.0	2683	6.63	0.49768123314435675	0.6337403393240957	0.8996364580628409	0.050942401476209306	0.4891634309918814	0.9490575985237907	0.7146221398549388	0.7761391538806566	0.99	0.69969730238846	0.5687691765253451	100.0	29339.0	14165.0	15174.0	7702.0	0.0				
deep-amp-lstm-gramneg	deep-amp	regressor	amp	minustrain	12593.0	2683	6.63	0.4682963448333925	0.5883733929569592	0.8719350563286945	0.050942401476209306	0.44398515269107475	0.9490575985237907	0.685600771003494	0.724433708666732	0.98	0.6789275285304248	0.5630243378837523	100.0	27028.0	11854.0	15174.0	6036.0	0.0				
deep-amp-lstm-grampos	deep-amp	regressor	amp	battleamp	12593.0	2683	6.63	0.4843287937047438	0.5888334800039112	0.9310451453308596	0.028904731043421904	0.43057343057343056	0.971095268956578	0.7102731029335048	0.767568417981743	0.97	0.7061220606433282	0.5631248227671694	100.0	29416.0	13986.0	15430.0	6468.0	0.0				
deep-amp-lstm-grampos	deep-amp	regressor	amp	minustrain	12593.0	2683	6.63	0.47310356838829604	0.5616678346180799	0.9151284490960989	0.028904731043421904	0.4051731401128991	0.971095268956578	0.6882452542655246	0.7243819197914703	0.97	0.6912064818941499	0.559734966057037	100.0	27299.0	11869.0	15430.0	5255.0	0.0				
deep-amp-cnn-gramneg	deep-amp	regressor	amp	battleamp	12593.0	2683	6.63	0.5598770329241178	0.6686698906051928	0.9543017957652103	0.02299393122049899	0.5146346751463468	0.977006068779501	0.7494205144756616	0.8172396406639234	1.0	0.750022268737402	0.6570981594995828	100.0	28667.0	13837.0	14830.0	7462.0	0.0				
deep-amp-cnn-gramneg	deep-amp	regressor	amp	minustrain	12593.0	2683	6.63	0.5353032030716186	0.6261188891439063	0.9411764705882353	0.02299393122049899	0.4690912217350185	0.977006068779501	0.7212628370725268	0.7726158077299041	0.99	0.7261043163079361	0.6447065317684019	100.0	26461.0	11631.0	14830.0	5797.0	0.0				
deep-amp-cnn-grampos	deep-amp	regressor	amp	battleamp	12593.0	2683	6.63	0.4991003378270884	0.7029640695023194	0.8226904674273096	0.13129386114328542	0.6136582017844887	0.8687061388567145	0.7401866169755891	0.768985058353464	0.7	0.6577632747347659	0.5121001633716312	100.0	29247.0	14570.0	14677.0	10868.0	0.0				
deep-amp-cnn-grampos	deep-amp	regressor	amp	minustrain	12593.0	2683	6.63	0.47057959518776876	0.6660125221941875	0.7871658935277226	0.13129386114328542	0.5771784904437965	0.8687061388567145	0.722215449120693	0.7298569080340689	0.68	0.6543729430165437	0.5125228006364224	100.0	27025.0	12348.0	14677.0	9054.0	0.0				
example-model	example-model	classifier	broad_activity	battleamp		0	0.0	-0.0021761778170186507	0.6115672973937879	0.7832647462277091	0.5042553191489362	0.501610541727672	0.4957446808510638	0.4981312108657051	0.7873481385419605	0.79	0.5027979125096939	0.5000077487841061	100.0	4355.0	3415.0	940.0	2187.0	0.0				
example-model	example-model	classifier	broad_activity	minustrain		0	0.0	-0.0021761778170186507	0.6115672973937879	0.7832647462277091	0.5042553191489362	0.501610541727672	0.4957446808510638	0.4981312108657051	0.7873481385419605	0.79	0.5027979125096939	0.5000077487841061	100.0	4355.0	3415.0	940.0	2187.0	0.0				
example-model	example-model	classifier	broad_activity	holdout		0	0.0	0.014282885765868121	0.6260869565217392	0.8307692307692308	0.4835164835164835	0.5023255813953489	0.5164835164835165	0.5211730130334782	0.8414090468224877	0.87	0.5139413829744307	0.49748743718592964	100.0	521.0	430.0	91.0	260.0	0.0				
ampeppy	ampeppy	classifier	broad_activity	battleamp	6536.0	340	7.81	0.23335580304439496	0.8762830902215019	0.8132364001002758	0.7925531914893617	0.949926793557833	0.2074468085106383	0.6809993458147722	0.8674108706277023	0.91	0.5372246150718374	0.5044766839086244	100.0	4355.0	3415.0	940.0	3989.0	0.0				
ampeppy	ampeppy	classifier	broad_activity	minustrain	6536.0	340	7.81	0.23665355998183932	0.8705673758865248	0.8049180327868852	0.7872105843439912	0.9478764478764479	0.2127894156560088	0.6755882319553764	0.8573911587185497	0.88	0.5346858908049646	0.5047523679264245	100.0	4015.0	3108.0	907.0	3660.0	0.0				
ampeppy	ampeppy	classifier	broad_activity	holdout	6536.0	340	7.81	0.3084237978397155	0.8993288590604027	0.8663793103448276	0.6813186813186813	0.9348837209302325	0.31868131868131866	0.6649501661129569	0.882312381039772	0.88	0.5139279325325837	0.5050309687974758	100.0	521.0	430.0	91.0	464.0	0.0				
amplify	amplify	classifier	broad_activity	battleamp	6676.0	392	9.0	0.2549993451670424	0.8828877005347594	0.81230012300123	0.8125665601703941	0.9669106881405564	0.18743343982960597	0.7071860815764567	0.8665759276846958	0.84	0.5195323453807806	0.5005146895426837	100.0	4354.0	3415.0	939.0	4065.0	0.0				
amplify	amplify	classifier	broad_activity	minustrain	6676.0	392	9.0	0.2569447931404944	0.8772605988734065	0.8053892215568862	0.8033707865168539	0.9632161458333334	0.19662921348314608	0.7128450886587078	0.8637537198632582	0.84	0.5235268209146462	0.5000514812181225	100.0	3962.0	3072.0	890.0	3674.0	0.0				
amplify	amplify	classifier	broad_activity	holdout	6676.0	392	9.0	0.18347001112327613	0.8978260869565218	0.8428571428571429	0.8461538461538461	0.9604651162790697	0.15384615384615385	0.6749169435215947	0.8878470980032658	0.91	0.5277146354257737	0.5021619726539676	100.0	521.0	430.0	91.0	490.0	0.0				
ampscanner	ampscanner	classifier	broad_activity	battleamp	2132.0	169	3.88	0.24420028741162023	0.8786161646286907	0.8071232876712329	0.8148148148148148	0.9640052356020943	0.18518518518518517	0.7232732057155323	0.8775705565017442	0.81	0.5376203886039963	0.5035918963993765	100.0	3920.0	3056.0	864.0	3650.0	0.0				
ampscanner	ampscanner	classifier	broad_activity	minustrain	2132.0	169	3.88	0.2426845616319835	0.8745104182986057	0.8013207005455067	0.8131609870740305	0.9624137931034483	0.18683901292596944	0.7225622999311154	0.8731799604525757	0.87	0.5369429068360556	0.5035272122104777	100.0	3751.0	2900.0	851.0	3483.0	0.0				
ampscanner	ampscanner	classifier	broad_activity	holdout	2132.0	169	3.88	0.17389333984839492	0.9025755879059351	0.8556263269639066	0.8395061728395061	0.9549763033175356	0.16049382716049382	0.6723421683927213	0.8977403421319329	0.85	0.5249931076131336	0.5023862766062791	100.0	503.0	422.0	81.0	471.0	0.0				
ampredmfa	ampredmfa	classifier	broad_activity	battleamp	11320.0	552	12.68	0.039087657337656505	0.8782125791037065	0.7855822550831792	0.9882854100106496	0.9956076134699854	0.011714589989350373	0.5558720298376673	0.8111880919808652	0.91	0.5070986755178486	0.5006777629891414	100.0	4354.0	3415.0	939.0	4328.0	0.0				
ampredmfa	ampredmfa	classifier	broad_activity	minustrain	11320.0	552	12.68	0.04254133615829329	0.867513069454817	0.7686606670195871	0.9875706214689266	0.9955433664724032	0.012429378531073447	0.5539744610301196	0.7929599863801665	0.85	0.504507878749516	0.5004304004836221	100.0	3802.0	2917.0	885.0	3778.0	0.0				
ampredmfa	ampredmfa	classifier	broad_activity	holdout	11320.0	552	12.68	-0.020173664619648222	0.9031578947368422	0.825	1.0	0.9976744186046511	0.0	0.5549833887043191	0.8526054365904305	0.88	0.5112760097919217	0.5010766039499824	100.0	521.0	430.0	91.0	520.0	0.0				
hydramp-amp-classifier	hydramp-amp-classifier	classifier	broad_activity	battleamp	11131.0	551	12.65	0.254384840457677	0.8763002080332853	0.8117402905425437	0.7800982800982801	0.9520166898470097	0.2199017199017199	0.7186330659905069	0.8877538519441965	0.97	0.560769084394734	0.5169613981475794	100.0	3690.0	2876.0	814.0	3373.0	0.0				
hydramp-amp-classifier	hydramp-amp-classifier	classifier	broad_activity	minustrain	11131.0	551	12.65	0.2716676819982785	0.872048743335872	0.8089014482515012	0.7534818941504178	0.9458901280462618	0.24651810584958217	0.7369278676943504	0.891163071892642	0.98	0.565866788553778	0.5183995960745788	100.0	3139.0	2421.0	718.0	2831.0	0.0				
hydramp-amp-classifier	hydramp-amp-classifier	classifier	broad_activity	holdout	11131.0	551	12.65	0.16036432131551465	0.8719346049046321	0.8290155440414507	0.7951807228915663	0.9195402298850575	0.20481927710843373	0.6919921063564604	0.8839352701836183	0.91	0.5321376249098025	0.4986859585282736	100.0	431.0	348.0	83.0	386.0	0.0				
hydramp-mic-classifier	hydramp-mic-classifier	classifier	broad_activity	battleamp	3444.0	1111	25.51	0.5577263962404735	0.8814489571899012	0.9301158301158301	0.22235872235872237	0.8376216968011126	0.7776412776412777	0.8614031910276694	0.9465674442895371	0.97	0.6669636226586669	0.5247088739463688	100.0	3690.0	2876.0	814.0	2590.0	0.0				
hydramp-mic-classifier	hydramp-mic-classifier	classifier	broad_activity	minustrain	3444.0	1111	25.51	0.49275313348102406	0.8722308088614117	0.9092373791621912	0.3023255813953488	0.8381188118811881	0.6976744186046512	0.8212388636001346	0.9275501893506677	0.96	0.6127320151278851	0.5095382507749431	100.0	2579.0	2020.0	559.0	1862.0	0.0				
hydramp-mic-classifier	hydramp-mic-classifier	classifier	broad_activity	holdout	3444.0	1111	25.51	0.3421905339070343	0.8524590163934426	0.8854489164086687	0.4457831325301205	0.8218390804597702	0.5542168674698795	0.7221298989059687	0.8898603043899285	0.91	0.5338705092602716	0.49748743718592964	100.0	431.0	348.0	83.0	323.0	0.0				
apex-min	apex	regressor	broad_activity	battleamp	1388.0	36	0.83	0.33138014974070373	0.8099385245901639	0.9039451114922813	0.3326732673267327	0.7336426914153132	0.6673267326732674	0.7459419723874938	0.9184077072453851	0.96	0.5835321229033393	0.5154680387765018	100.0	2660.0	2155.0	505.0	1749.0	0.0				
apex-min	apex	regressor	broad_activity	minustrain	1388.0	36	0.83	0.33201012894439313	0.8086099585062241	0.903768115942029	0.33001988071570576	0.7315814171750352	0.6699801192842942	0.7461481696400667	0.9176245171425359	0.96	0.5816790825596447	0.5144222070804365	100.0	2634.0	2131.0	503.0	1725.0	0.0				
apex-min	apex	regressor	broad_activity	holdout	1388.0	36	0.83	0.05969274884803587	0.8087431693989071	0.891566265060241	0.6585365853658537	0.74	0.34146341463414637	0.5373983739837399	0.9016054424170599	0.9	0.5255455712451862	0.5326633165829145	100.0	341.0	300.0	41.0	249.0	0.0				
apex-ecoli	apex	regressor	broad_activity	battleamp	1388.0	36	0.83	0.24445109513031676	0.35306019221041984	0.9640883977900553	0.019548872180451128	0.21609907120743035	0.9804511278195489	0.6251802881817548	0.824326602647814	0.98	0.5957320382592459	0.5383046660945033	100.0	2280.0	1615.0	665.0	362.0	0.0				
apex-ecoli	apex	regressor	broad_activity	minustrain	1388.0	36	0.83	0.2421014707883086	0.3487179487179487	0.9631728045325779	0.019667170953101363	0.2128991859737007	0.9803328290468987	0.6246886891741986	0.822761667840635	0.97	0.5937796019818392	0.5371284515341412	100.0	2258.0	1597.0	661.0	353.0	0.0				
apex-ecoli	apex	regressor	broad_activity	holdout	1388.0	36	0.83	0.24235596569070098	0.4930555555555556	0.9466666666666667	0.06896551724137931	0.3333333333333333	0.9310344827586207	0.5411202849279586	0.8502676767641019	0.88	0.5830883668617878	0.5328756458348078	100.0	271.0	213.0	58.0	75.0	0.0				
apex-saureus	apex	regressor	broad_activity	battleamp	1388.0	36	0.83	0.07848138012606452	0.07010634107916502	0.9468085106382979	0.006112469437652812	0.03640081799591002	0.9938875305623472	0.5469892650536747	0.7922043262448086	0.94	0.525511319811822	0.5108245564299817	100.0	3263.0	2445.0	818.0	94.0	0.0				
apex-saureus	apex	regressor	broad_activity	minustrain	1388.0	36	0.83	0.07501403618688961	0.06616181745715424	0.9431818181818182	0.006150061500615006	0.034283353985956215	0.993849938499385	0.5475002705417389	0.791338431245123	0.92	0.5249495637198595	0.5099742146475285	100.0	3234.0	2421.0	813.0	88.0	0.0				
apex-saureus	apex	regressor	broad_activity	holdout	1388.0	36	0.83	0.10998533626601496	0.11764705882352941	1.0	0.0	0.0625	1.0	0.48250868055555546	0.8375388611500061	0.83	0.5349963450292398	0.532035175879397	100.0	392.0	320.0	72.0	20.0	0.0				
apex-kpneumoniae	apex	regressor	broad_activity	battleamp	1388.0	36	0.83	0.031838646669683515	0.01347068145800317	0.9444444444444444	0.0012738853503184713	0.006783719074221868	0.9987261146496815	0.5332791110252592	0.7848791983828965	0.78	0.5066898110307972	0.5029245689102995	100.0	3291.0	2506.0	785.0	18.0	0.0				
apex-kpneumoniae	apex	regressor	broad_activity	minustrain	1388.0	36	0.83	0.027450921515605107	0.011195521791283487	0.9333333333333333	0.0012804097311139564	0.0056315366049879325	0.998719590268886	0.5340153257731131	0.7839913058906707	0.76	0.5059159245138908	0.5023734066357469	100.0	3267.0	2486.0	781.0	15.0	0.0				
apex-kpneumoniae	apex	regressor	broad_activity	holdout	1388.0	36	0.83	0.059478868928860805	0.037037037037037035	1.0	0.0	0.018867924528301886	1.0	0.45898846960167716	0.8219900418445837	0.81	0.5215436389716429	0.5069688062956291	100.0	390.0	318.0	72.0	6.0	0.0				
apex-abaumannii	apex	regressor	broad_activity	battleamp	1388.0	36	0.83	0.32720051055310534	0.5589447650453421	0.9429763560500696	0.061933534743202415	0.39718804920913886	0.9380664652567976	0.6834219147388485	0.8574309417937921	0.94	0.6206914314548337	0.5142121529798236	100.0	2369.0	1707.0	662.0	719.0	0.0				
apex-abaumannii	apex	regressor	broad_activity	minustrain	1388.0	36	0.83	0.3259720632761669	0.5568561872909699	0.942008486562942	0.06231003039513678	0.39525222551928785	0.9376899696048632	0.682818179358365	0.8556070134168854	0.94	0.6187159609358646	0.5130333148157608	100.0	2343.0	1685.0	658.0	707.0	0.0				
apex-abaumannii	apex	regressor	broad_activity	holdout	1388.0	36	0.83	0.182298895710067	0.6051873198847262	0.8974358974358975	0.22641509433962265	0.45652173913043476	0.7735849056603774	0.5540607054963085	0.8633707215384878	0.91	0.538966365873667	0.5127812977933144	100.0	283.0	230.0	53.0	117.0	0.0				
apex-paeruginosa	apex	regressor	broad_activity	battleamp	1388.0	36	0.83	0.08142727599635535	0.05024630541871921	0.9807692307692307	0.0012706480304955528	0.02578361981799798	0.9987293519695044	0.5675582615890423	0.7758761633103539	0.92	0.5328192813383519	0.5139645871980185	100.0	2765.0	1978.0	787.0	52.0	0.0				
apex-paeruginosa	apex	regressor	broad_activity	minustrain	1388.0	36	0.83	0.07911036499638774	0.04776119402985075	0.9795918367346939	0.001277139208173691	0.02447730749617542	0.9987228607918263	0.5679908926493181	0.7749064001926084	0.92	0.5321685415168962	0.5133397915035446	100.0	2744.0	1961.0	783.0	49.0	0.0				
apex-paeruginosa	apex	regressor	broad_activity	holdout	1388.0	36	0.83	-0.006625028634729449	0.05263157894736842	0.75	0.029850746268656716	0.02727272727272727	0.9701492537313433	0.4543419267299864	0.7673540260373215	0.78	0.5074269799328716	0.5066240292370946	100.0	287.0	220.0	67.0	8.0	0.0				
mbc-attention	mbc-attention	regressor	broad_activity	battleamp	3929.0	1392	31.96	0.6330941216711333	0.932746196957566	0.927547770700637	0.3170731707317073	0.9380032206119162	0.6829268292682927	0.8720129385558866	0.9606835631379509	1.0	0.6666817272945531	0.5637374312297176	100.0	3058.0	2484.0	574.0	2512.0	0.0				
mbc-attention	mbc-attention	regressor	broad_activity	minustrain	3929.0	1392	31.96	0.4209710809687152	0.917360285374554	0.8997084548104957	0.5548387096774193	0.9357186173438448	0.44516129032258067	0.7726637845028267	0.9373970022352256	0.97	0.5787332138323272	0.5238226776205801	100.0	1959.0	1649.0	310.0	1715.0	0.0				
mbc-attention	mbc-attention	regressor	broad_activity	holdout	3929.0	1392	31.96	0.20303653003383493	0.9102167182662538	0.9074074074074074	0.7142857142857143	0.9130434782608695	0.2857142857142857	0.6438923395445134	0.924083205675217	0.93	0.5267672286305827	0.5052904272917382	100.0	364.0	322.0	42.0	324.0	0.0				
sensexamp-classifier	sensexamp	classifier	broad_activity	battleamp	20587.0	1048	24.06	0.17810741515786885	0.8786181139122315	0.7929775280898876	0.9098765432098765	0.984996510816469	0.09012345679012346	0.7423104425663161	0.8982582653672744	0.96	0.5695109293743003	0.5156190046231086	100.0	3676.0	2866.0	810.0	3560.0	0.0				
